,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.85) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia
1,Norway,7.537,7.594,7.480,2.277,1.616,1.534,0.797,0.635,0.362,0.316,1.85
2,Denmark,7.522,7.582,7.462,2.314,1.482,1.551,0.793,0.626,0.355,0.401,1.85
3,Iceland,7.504,7.622,7.386,2.323,1.481,1.611,0.834,0.627,0.476,0.154,1.85
4,Switzerland,7.494,7.562,7.426,2.277,1.565,1.517,0.858,0.620,0.291,0.367,1.85
5,Finland,7.469,7.528,7.410,2.430,1.444,1.540,0.809,0.618,0.245,0.383,1.85
6,Netherlands,7.377,7.427,7.327,2.295,1.504,1.429,0.811,0.585,0.470,0.283,1.85
7,Canada,7.316,7.384,7.248,2.187,1.479,1.481,0.835,0.611,0.436,0.287,1.85
8,New Zealand,7.314,7.380,7.248,2.046,1.406,1.548,0.817,0.614,0.500,0.383,1.85
9,Sweden,7.284,7.344,7.224,2.098,1.494,1.478,0.831,0.613,0.385,0.384,1.85
10,Australia,7.284,7.357,7.211,2.065,1.484,1.510,0.844,0.602,0.478,0.301,1.85
11,Israel,7.213,7.280,7.146,2.802,1.375,1.376,0.838,0.406,0.330,0.085,1.85
12,Costa Rica,7.079,7.168,6.990,2.899,1.110,1.416,0.760,0.580,0.215,0.100,1.85
13,Austria,7.006,7.071,6.941,2.139,1.487,1.460,0.815,0.568,0.316,0.221,1.85
14,United States,6.993,7.075,6.911,2.218,1.546,1.420,0.774,0.506,0.393,0.136,1.85
15,Ireland,6.977,7.043,6.911,1.774,1.536,1.558,0.810,0.573,0.428,0.298,1.85
16,Germany,6.951,7.005,6.897,2.016,1.488,1.473,0.799,0.563,0.336,0.277,1.85
17,Belgium,6.891,6.956,6.826,2.124,1.464,1.462,0.818,0.540,0.232,0.251,1.85
18,Luxembourg,6.863,6.924,6.802,1.620,1.742,1.458,0.845,0.597,0.283,0.319,1.85
19,United Kingdom,6.714,6.784,6.644,1.704,1.442,1.496,0.805,0.508,0.493,0.265,1.85
20,Chile,6.652,6.739,6.565,2.510,1.253,1.284,0.819,0.377,0.327,0.082,1.85
21,United Arab Emirates,6.648,6.722,6.574,1.735,1.626,1.266,0.727,0.608,0.361,0.324,1.85
22,Brazil,6.635,6.725,6.545,2.769,1.107,1.431,0.617,0.437,0.162,0.111,1.85
23,Czech Republic,6.609,6.684,6.534,2.452,1.353,1.434,0.754,0.491,0.088,0.037,1.85
24,Argentina,6.599,6.690,6.508,2.614,1.185,1.440,0.695,0.495,0.109,0.060,1.85
25,Mexico,6.578,6.671,6.485,2.837,1.153,1.211,0.710,0.413,0.121,0.133,1.85
26,Singapore,6.572,6.637,6.507,1.216,1.692,1.354,0.949,0.550,0.346,0.464,1.85
27,Malta,6.527,6.598,6.456,1.557,1.343,1.488,0.822,0.589,0.575,0.153,1.85
28,Uruguay,6.454,6.546,6.362,2.172,1.218,1.412,0.719,0.579,0.175,0.178,1.85
29,Guatemala,6.454,6.567,6.341,2.894,0.872,1.256,0.540,0.531,0.283,0.077,1.85
30,Panama,6.452,6.557,6.347,2.307,1.234,1.373,0.706,0.550,0.211,0.071,1.85
31,France,6.442,6.516,6.368,2.006,1.431,1.388,0.844,0.470,0.130,0.173,1.85
32,Thailand,6.424,6.509,6.339,2.040,1.128,1.426,0.647,0.580,0.572,0.032,1.85
33,Taiwan Province of China,6.422,6.495,6.349,2.127,1.434,1.385,0.794,0.361,0.258,0.064,1.85
34,Spain,6.403,6.471,6.335,1.928,1.384,1.532,0.889,0.409,0.190,0.071,1.85
35,Qatar,6.375,6.568,6.182,1.145,1.871,1.274,0.710,0.604,0.330,0.439,1.85
36,Colombia,6.357,6.452,6.262,2.616,1.071,1.402,0.595,0.477,0.149,0.047,1.85
37,Saudi Arabia,6.344,6.444,6.244,2.065,1.531,1.287,0.590,0.450,0.148,0.273,1.85
38,Trinidad and Tobago,6.168,6.382,5.954,2.053,1.361,1.380,0.520,0.519,0.325,0.009,1.85
39,Kuwait,6.105,6.192,6.018,1.640,1.633,1.260,0.632,0.496,0.228,0.215,1.85
40,Slovakia,6.098,6.177,6.019,2.098,1.325,1.505,0.713,0.296,0.137,0.024,1.85
41,Bahrain,6.087,6.179,5.995,1.656,1.488,1.323,0.653,0.537,0.173,0.257,1.85
42,Malaysia,6.084,6.180,5.988,2.004,1.291,1.285,0.619,0.402,0.417,0.066,1.85
43,Nicaragua,6.071,6.187,5.955,2.514,0.737,1.287,0.653,0.448,0.302,0.131,1.85
44,Ecuador,6.008,6.106,5.910,2.290,1.001,1.286,0.686,0.455,0.150,0.140,1.85
45,El Salvador,6.003,6.109,5.897,2.715,0.910,1.182,0.596,0.432,0.078,0.090,1.85
46,Poland,5.973,6.054,5.892,1.798,1.292,1.446,0.699,0.520,0.158,0.059,1.85
47,Uzbekistan,5.971,6.066,5.876,1.817,0.786,1.549,0.498,0.658,0.416,0.247,1.85
48,Italy,5.964,6.043,5.885,1.813,1.395,1.445,0.853,0.256,0.173,0.028,1.85
49,Russia,5.963,6.030,5.896,2.206,1.282,1.469,0.547,0.374,0.052,0.033,1.85
50,Belize,5.956,6.197,5.715,2.632,0.908,1.081,0.450,0.548,0.240,0.097,1.85
51,Japan,5.920,5.991,5.849,1.363,1.417,1.436,0.913,0.506,0.121,0.164,1.85
52,Lithuania,5.902,5.983,5.821,2.228,1.315,1.474,0.629,0.234,0.010,0.012,1.85
53,Algeria,5.872,5.978,5.766,2.568,1.092,1.146,0.618,0.233,0.069,0.146,1.85
54,Latvia,5.850,5.920,5.780,1.994,1.261,1.405,0.639,0.326,0.153,0.074,1.85
55,South Korea,5.838,5.923,5.753,1.880,1.402,1.128,0.900,0.258,0.207,0.063,1.85
56,Moldova,5.838,5.908,5.768,2.808,0.729,1.252,0.589,0.241,0.209,0.010,1.85
57,Romania,5.825,5.920,5.730,2.177,1.218,1.150,0.685,0.457,0.134,0.004,1.85
58,Bolivia,5.823,5.904,5.742,2.443,0.834,1.228,0.474,0.559,0.226,0.060,1.85
59,Turkmenistan,5.822,5.885,5.759,1.833,1.131,1.493,0.438,0.418,0.250,0.259,1.85
60,Kazakhstan,5.819,5.904,5.734,1.785,1.285,1.384,0.606,0.437,0.202,0.119,1.85
61,North Cyprus,5.810,5.897,5.723,1.549,1.347,1.186,0.835,0.471,0.267,0.155,1.85
62,Slovenia,5.758,5.842,5.674,1.313,1.341,1.453,0.791,0.573,0.243,0.045,1.85
63,Peru,5.715,5.812,5.618,2.207,1.035,1.219,0.630,0.450,0.127,0.047,1.85
64,Mauritius,5.629,5.730,5.528,1.698,1.189,1.210,0.638,0.491,0.361,0.042,1.85
65,Cyprus,5.621,5.715,5.527,1.621,1.356,1.131,0.845,0.355,0.271,0.041,1.85
66,Estonia,5.611,5.688,5.534,1.358,1.321,1.477,0.695,0.479,0.099,0.183,1.85
67,Belarus,5.569,5.646,5.492,1.723,1.157,1.445,0.638,0.295,0.155,0.156,1.85
68,Libya,5.525,5.677,5.373,1.835,1.102,1.358,0.520,0.466,0.152,0.093,1.85
69,Turkey,5.500,5.595,5.405,1.879,1.198,1.338,0.638,0.301,0.047,0.100,1.85
70,Paraguay,5.493,5.577,5.409,1.685,0.933,1.507,0.579,0.474,0.224,0.091,1.85
71,"Hong Kong S.A.R. China",5.472,5.550,5.394,0.555,1.552,1.263,0.943,0.491,0.374,0.294,1.85
72,Philippines,5.430,5.545,5.315,1.973,0.858,1.254,0.468,0.585,0.194,0.099,1.85
73,Serbia,5.395,5.492,5.298,1.947,1.069,1.258,0.651,0.209,0.220,0.041,1.85
74,Jordan,5.336,5.448,5.224,1.791,0.991,1.239,0.605,0.418,0.172,0.120,1.85
75,Hungary,5.324,5.403,5.245,1.716,1.286,1.343,0.688,0.176,0.078,0.037,1.85
76,Jamaica,5.311,5.581,5.041,1.612,0.926,1.368,0.641,0.474,0.234,0.055,1.85
77,Croatia,5.293,5.392,5.194,1.854,1.223,0.968,0.701,0.256,0.248,0.043,1.85
78,Kosovo,5.279,5.365,5.193,2.011,0.951,1.138,0.541,0.260,0.320,0.057,1.85
79,China,5.273,5.319,5.227,1.765,1.081,1.161,0.741,0.473,0.029,0.023,1.85
80,Pakistan,5.269,5.360,5.178,2.792,0.727,0.673,0.402,0.235,0.315,0.124,1.85
81,Indonesia,5.262,5.353,5.171,1.429,0.996,1.274,0.492,0.443,0.612,0.015,1.85
82,Venezuela,5.250,5.370,5.130,1.789,1.128,1.431,0.617,0.154,0.065,0.064,1.85
83,Montenegro,5.237,5.341,5.133,1.729,1.121,1.238,0.667,0.195,0.198,0.088,1.85
84,Morocco,5.235,5.318,5.152,2.456,0.878,0.775,0.598,0.408,0.032,0.088,1.85
85,Azerbaijan,5.234,5.299,5.169,1.762,1.154,1.152,0.541,0.398,0.045,0.181,1.85
86,Dominican Republic,5.230,5.349,5.111,1.319,1.079,1.402,0.575,0.553,0.187,0.114,1.85
87,Greece,5.227,5.325,5.129,1.749,1.289,1.239,0.810,0.096,0.000,0.043,1.85
88,Lebanon,5.225,5.319,5.131,1.695,1.075,1.130,0.735,0.289,0.264,0.038,1.85
89,Portugal,5.195,5.285,5.105,1.108,1.315,1.367,0.796,0.498,0.095,0.016,1.85
90,Bosnia and Herzegovina,5.182,5.276,5.088,1.892,0.982,1.069,0.705,0.204,0.329,0.000,1.85
91,Honduras,5.181,5.302,5.060,2.066,0.731,1.144,0.583,0.348,0.236,0.073,1.85
92,Macedonia,5.175,5.272,5.078,1.617,1.065,1.208,0.645,0.326,0.254,0.060,1.85
93,Somalia,5.151,5.242,5.060,3.117,0.023,0.721,0.114,0.602,0.292,0.282,1.85
94,Vietnam,5.074,5.147,5.001,1.462,0.789,1.277,0.652,0.571,0.235,0.088,1.85
95,Nigeria,5.074,5.210,4.938,2.365,0.784,1.216,0.057,0.395,0.231,0.026,1.85
96,Tajikistan,5.041,5.111,4.971,1.849,0.525,1.271,0.529,0.472,0.249,0.146,1.85
97,Bhutan,5.011,5.079,4.943,1.140,0.885,1.340,0.496,0.502,0.474,0.173,1.85
98,Kyrgyzstan,5.004,5.090,4.918,1.537,0.596,1.394,0.553,0.455,0.429,0.039,1.85
99,Nepal,4.962,5.067,4.857,1.891,0.480,1.179,0.504,0.440,0.394,0.073,1.85
100,Mongolia,4.955,5.022,4.888,1.111,1.027,1.493,0.558,0.394,0.338,0.033,1.85
101,South Africa,4.829,4.929,4.729,1.511,1.055,1.385,0.187,0.479,0.139,0.073,1.85
102,Tunisia,4.805,4.884,4.726,1.890,1.007,0.868,0.613,0.290,0.050,0.087,1.85
103,Palestinian Territories,4.775,4.882,4.668,1.879,0.716,1.156,0.566,0.255,0.114,0.089,1.85
104,Egypt,4.735,4.825,4.645,1.702,0.990,0.997,0.520,0.282,0.129,0.114,1.85
105,Bulgaria,4.714,4.804,4.624,0.996,1.161,1.434,0.708,0.289,0.113,0.011,1.85
106,Sierra Leone,4.709,4.851,4.567,2.668,0.368,0.984,0.006,0.319,0.293,0.071,1.85
107,Cameroon,4.695,4.797,4.593,2.334,0.564,0.946,0.133,0.430,0.236,0.051,1.85
108,Iran,4.692,4.798,4.586,1.499,1.157,0.712,0.639,0.249,0.387,0.049,1.85
109,Albania,4.644,4.752,4.536,1.490,0.996,0.804,0.731,0.381,0.201,0.040,1.85
110,Bangladesh,4.608,4.690,4.526,1.979,0.587,0.735,0.533,0.478,0.172,0.124,1.85
111,Namibia,4.574,4.770,4.378,1.482,0.964,1.098,0.339,0.520,0.077,0.093,1.85
112,Kenya,4.553,4.656,4.450,1.652,0.560,1.068,0.310,0.453,0.445,0.065,1.85
113,Mozambique,4.550,4.774,4.326,2.356,0.234,0.871,0.107,0.481,0.322,0.179,1.85
114,Myanmar,4.545,4.615,4.475,1.115,0.367,1.123,0.398,0.514,0.838,0.189,1.85
115,Senegal,4.535,4.602,4.468,1.790,0.479,1.180,0.409,0.378,0.183,0.115,1.85
116,Zambia,4.514,4.644,4.384,1.827,0.636,1.003,0.258,0.462,0.250,0.078,1.85
117,Iraq,4.497,4.623,4.371,1.319,1.103,0.979,0.501,0.289,0.200,0.107,1.85
118,Gabon,4.465,4.557,4.373,1.323,1.198,1.156,0.357,0.312,0.044,0.076,1.85
119,Ethiopia,4.460,4.543,4.377,2.016,0.339,0.865,0.353,0.409,0.313,0.165,1.85
120,Sri Lanka,4.440,4.553,4.327,0.419,1.010,1.260,0.625,0.561,0.491,0.074,1.85
121,Armenia,4.376,4.467,4.285,1.521,0.901,1.007,0.638,0.198,0.083,0.027,1.85
122,India,4.315,4.372,4.258,1.519,0.792,0.754,0.455,0.470,0.232,0.092,1.85
123,Mauritania,4.292,4.377,4.207,1.652,0.648,1.272,0.285,0.096,0.202,0.137,1.85
124,Congo (Brazzaville),4.291,4.410,4.172,1.724,0.809,0.832,0.290,0.435,0.121,0.080,1.85
125,Georgia,4.286,4.375,4.197,1.500,0.951,0.571,0.650,0.309,0.054,0.252,1.85
126,Congo (Kinshasa),4.280,4.358,4.202,2.225,0.092,1.229,0.191,0.236,0.246,0.060,1.85
127,Mali,4.190,4.270,4.110,1.668,0.476,1.281,0.169,0.307,0.183,0.105,1.85
128,Ivory Coast,4.180,4.275,4.085,1.845,0.603,0.905,0.049,0.448,0.201,0.130,1.85
129,Cambodia,4.168,4.279,4.057,1.043,0.602,1.006,0.430,0.633,0.386,0.068,1.85
130,Sudan,4.139,4.346,3.932,1.687,0.660,1.214,0.291,0.015,0.182,0.090,1.85
131,Ghana,4.120,4.223,4.017,1.578,0.667,0.874,0.296,0.423,0.257,0.025,1.85
132,Ukraine,4.096,4.185,4.007,0.814,0.895,1.395,0.576,0.123,0.270,0.023,1.85
133,Uganda,4.081,4.196,3.966,1.526,0.381,1.130,0.218,0.443,0.326,0.057,1.85
134,Burkina Faso,4.032,4.124,3.940,1.727,0.350,1.043,0.216,0.324,0.251,0.120,1.85
135,Niger,4.028,4.112,3.944,1.874,0.162,0.993,0.269,0.364,0.229,0.139,1.85
136,Malawi,3.970,4.077,3.863,2.082,0.233,0.513,0.315,0.467,0.287,0.073,1.85
137,Chad,3.936,4.035,3.837,2.071,0.438,0.954,0.041,0.162,0.216,0.054,1.85
138,Zimbabwe,3.875,3.979,3.771,1.598,0.376,1.083,0.197,0.336,0.189,0.095,1.85
139,Lesotho,3.808,4.044,3.572,1.430,0.521,1.190,0.000,0.391,0.157,0.119,1.85
140,Angola,3.795,3.952,3.638,1.614,0.858,1.104,0.050,0.000,0.098,0.070,1.85
141,Afghanistan,3.794,3.874,3.714,2.151,0.401,0.582,0.181,0.106,0.312,0.061,1.85
142,Botswana,3.766,3.874,3.658,0.378,1.122,1.222,0.342,0.505,0.099,0.099,1.85
143,Benin,3.657,3.746,3.568,1.886,0.431,0.435,0.210,0.426,0.208,0.061,1.85
144,Madagascar,3.644,3.714,3.574,1.585,0.306,0.913,0.375,0.189,0.209,0.067,1.85
145,Haiti,3.603,3.735,3.471,1.697,0.369,0.640,0.277,0.030,0.489,0.100,1.85
146,Yemen,3.593,3.693,3.493,1.346,0.592,0.935,0.310,0.249,0.104,0.057,1.85
147,South Sudan,3.591,3.726,3.456,1.880,0.397,0.601,0.163,0.147,0.286,0.117,1.85
148,Liberia,3.533,3.654,3.412,1.673,0.119,0.872,0.230,0.333,0.267,0.039,1.85
149,Guinea,3.507,3.584,3.430,1.552,0.245,0.791,0.194,0.349,0.265,0.111,1.85
150,Togo,3.495,3.594,3.396,1.837,0.305,0.432,0.247,0.380,0.197,0.096,1.85
151,Rwanda,3.471,3.543,3.399,0.540,0.369,0.946,0.326,0.582,0.253,0.455,1.85
152,Syria,3.462,3.664,3.260,1.062,0.777,0.396,0.501,0.082,0.494,0.151,1.85
153,Tanzania,3.349,3.461,3.237,0.621,0.511,1.042,0.365,0.390,0.354,0.066,1.85
154,Burundi,2.905,3.075,2.735,1.683,0.092,0.630,0.152,0.060,0.204,0.084,1.85
155,Central African Republic,2.693,2.865,2.521,2.066,0.000,0.000,0.019,0.271,0.281,0.057,1.85